Year,Value,Units,Series
2015,13.0,percentage,population who felt discriminated in their contacts with public services in the last two years
2017,10.0,percentage,population who felt discriminated in their contacts with public services in the last two years
2019,9.0,percentage,population who felt discriminated in their contacts with public services in the last two years
2021,8.0,percentage,population who felt discriminated in their contacts with public services in the last two years
2023,11.0,percentage,population who felt discriminated in their contacts with public services in the last two years
2024,4994.0,number,female victims of sexual violence by an intimate partner
2025,5694.0,number,female victims of sexual violence by an intimate partner
2025,15.53,"per 100,000 female inhabitants",female victims of sexual violence by an intimate partner
2018,0.009,percentage,female victims of sexual violence by an intimate partner
2019,0.009,percentage,female victims of sexual violence by an intimate partner
2020,0.01,percentage,female victims of sexual violence by an intimate partner
2021,0.011,percentage,female victims of sexual violence by an intimate partner
2022,0.012,percentage,female victims of sexual violence by an intimate partner
2023,0.012,percentage,female victims of sexual violence by an intimate partner
2024,0.014,percentage,female victims of sexual violence by an intimate partner
2025,0.016,percentage,female victims of sexual violence by an intimate partner
