Year,Units,age group,sex,typ of victim-suspect relationship,degree of feelings of insecurity,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,percentage,60 years and older,,,,0,,,victims of intentional homicide,0.00097
2011,percentage,60 years and older,,,,0,,,victims of intentional homicide,0.00086
2012,percentage,60 years and older,,,,0,,,victims of intentional homicide,0.00083
2013,percentage,60 years and older,,,,0,,,victims of intentional homicide,0.00097
2014,percentage,60 years and older,,,,0,,,victims of intentional homicide,0.00096
2015,percentage,60 years and older,,,,0,,,victims of intentional homicide,0.00109
2016,percentage,60 years and older,,,,0,,,victims of intentional homicide,0.00128
2017,percentage,60 years and older,,,,0,,,victims of intentional homicide,0.00136
2018,percentage,60 years and older,,,,0,,,victims of intentional homicide,0.001
2019,percentage,60 years and older,,,,0,,,victims of intentional homicide,0.00085
2020,percentage,60 years and older,,,,0,,,victims of intentional homicide,0.00122
2021,percentage,60 years and older,,,,0,,,victims of intentional homicide,0.001
2022,percentage,60 years and older,,,,0,,,victims of intentional homicide,0.00108
2023,percentage,60 years and older,,,,0,,,victims of intentional homicide,0.00094
2024,percentage,60 years and older,,,,0,,,victims of intentional homicide,0.00106
2010,percentage,,female,,,0,,,victims of intentional homicide,0.00094
2011,percentage,,female,,,0,,,victims of intentional homicide,0.00082
2012,percentage,,female,,,0,,,victims of intentional homicide,0.00072
2013,percentage,,female,,,0,,,victims of intentional homicide,0.0008
2014,percentage,,female,,,0,,,victims of intentional homicide,0.00082
2015,percentage,,female,,,0,,,victims of intentional homicide,0.00079
2016,percentage,,female,,,0,,,victims of intentional homicide,0.00113
2017,percentage,,female,,,0,,,victims of intentional homicide,0.00091
2018,percentage,,female,,,0,,,victims of intentional homicide,0.00088
2019,percentage,,female,,,0,,,victims of intentional homicide,0.00066
2020,percentage,,female,,,0,,,victims of intentional homicide,0.00086
2021,percentage,,female,,,0,,,victims of intentional homicide,0.00081
2022,percentage,,female,,,0,,,victims of intentional homicide,0.00083
2023,percentage,,female,,,0,,,victims of intentional homicide,0.00089
2024,percentage,,female,,,0,,,victims of intentional homicide,0.0008
2010,percentage,,male,,,0,,,victims of intentional homicide,0.001
2011,percentage,,male,,,0,,,victims of intentional homicide,0.00102
2012,percentage,,male,,,0,,,victims of intentional homicide,0.00092
2013,percentage,,male,,,0,,,victims of intentional homicide,0.0009
2014,percentage,,male,,,0,,,victims of intentional homicide,0.00095
2015,percentage,,male,,,0,,,victims of intentional homicide,0.00088
2016,percentage,,male,,,0,,,victims of intentional homicide,0.00122
2017,percentage,,male,,,0,,,victims of intentional homicide,0.00107
2018,percentage,,male,,,0,,,victims of intentional homicide,0.00104
2019,percentage,,male,,,0,,,victims of intentional homicide,0.00086
2020,percentage,,male,,,0,,,victims of intentional homicide,0.00105
2021,percentage,,male,,,0,,,victims of intentional homicide,0.00089
2022,percentage,,male,,,0,,,victims of intentional homicide,0.00083
2023,percentage,,male,,,0,,,victims of intentional homicide,0.00096
2024,percentage,,male,,,0,,,victims of intentional homicide,0.00107
2010,percentage,13 years and younger,female,,,0,,,victims of intentional homicide,0.00075
2011,percentage,13 years and younger,female,,,0,,,victims of intentional homicide,0.00054
2012,percentage,13 years and younger,female,,,0,,,victims of intentional homicide,0.00088
2013,percentage,13 years and younger,female,,,0,,,victims of intentional homicide,0.00084
2014,percentage,13 years and younger,female,,,0,,,victims of intentional homicide,0.00054
2015,percentage,13 years and younger,female,,,0,,,victims of intentional homicide,0.00055
2016,percentage,13 years and younger,female,,,0,,,victims of intentional homicide,0.00065
2017,percentage,13 years and younger,female,,,0,,,victims of intentional homicide,0.0006
2018,percentage,13 years and younger,female,,,0,,,victims of intentional homicide,0.00064
2019,percentage,13 years and younger,female,,,0,,,victims of intentional homicide,0.00036
2020,percentage,13 years and younger,female,,,0,,,victims of intentional homicide,0.0009
2021,percentage,13 years and younger,female,,,0,,,victims of intentional homicide,0.0009
2022,percentage,13 years and younger,female,,,0,,,victims of intentional homicide,0.00052
2023,percentage,13 years and younger,female,,,0,,,victims of intentional homicide,0.00074
2024,percentage,13 years and younger,female,,,0,,,victims of intentional homicide,0.00038
2010,percentage,13 years and younger,male,,,0,,,victims of intentional homicide,0.00077
2011,percentage,13 years and younger,male,,,0,,,victims of intentional homicide,0.00104
2012,percentage,13 years and younger,male,,,0,,,victims of intentional homicide,0.00109
2013,percentage,13 years and younger,male,,,0,,,victims of intentional homicide,0.00062
2014,percentage,13 years and younger,male,,,0,,,victims of intentional homicide,0.00084
2015,percentage,13 years and younger,male,,,0,,,victims of intentional homicide,0.00077
2016,percentage,13 years and younger,male,,,0,,,victims of intentional homicide,0.00078
2017,percentage,13 years and younger,male,,,0,,,victims of intentional homicide,0.00079
2018,percentage,13 years and younger,male,,,0,,,victims of intentional homicide,0.00081
2019,percentage,13 years and younger,male,,,0,,,victims of intentional homicide,0.00058
2020,percentage,13 years and younger,male,,,0,,,victims of intentional homicide,0.00072
2021,percentage,13 years and younger,male,,,0,,,victims of intentional homicide,0.0008
2022,percentage,13 years and younger,male,,,0,,,victims of intentional homicide,0.00044
2023,percentage,13 years and younger,male,,,0,,,victims of intentional homicide,0.00059
2024,percentage,13 years and younger,male,,,0,,,victims of intentional homicide,0.00065
2010,percentage,14 to under 18 years,female,,,0,,,victims of intentional homicide,0.00089
2011,percentage,14 to under 18 years,female,,,0,,,victims of intentional homicide,0.00062
2012,percentage,14 to under 18 years,female,,,‒,,,victims of intentional homicide,0.0
2013,percentage,14 to under 18 years,female,,,0,,,victims of intentional homicide,0.00021
2014,percentage,14 to under 18 years,female,,,0,,,victims of intentional homicide,0.00026
2015,percentage,14 to under 18 years,female,,,0,,,victims of intentional homicide,0.00048
2016,percentage,14 to under 18 years,female,,,0,,,victims of intentional homicide,0.00118
2017,percentage,14 to under 18 years,female,,,0,,,victims of intentional homicide,0.0
2018,percentage,14 to under 18 years,female,,,0,,,victims of intentional homicide,0.00044
2019,percentage,14 to under 18 years,female,,,0,,,victims of intentional homicide,0.00022
2020,percentage,14 to under 18 years,female,,,0,,,victims of intentional homicide,0.00022
2021,percentage,14 to under 18 years,female,,,0,,,victims of intentional homicide,0.00039
2022,percentage,14 to under 18 years,female,,,0,,,victims of intentional homicide,0.00082
2023,percentage,14 to under 18 years,female,,,0,,,victims of intentional homicide,0.00054
2024,percentage,14 to under 18 years,female,,,0,,,victims of intentional homicide,0.00047
2010,percentage,14 to under 18 years,male,,,0,,,victims of intentional homicide,0.00048
2011,percentage,14 to under 18 years,male,,,0,,,victims of intentional homicide,0.00074
2012,percentage,14 to under 18 years,male,,,0,,,victims of intentional homicide,0.00029
2013,percentage,14 to under 18 years,male,,,0,,,victims of intentional homicide,0.00039
2014,percentage,14 to under 18 years,male,,,0,,,victims of intentional homicide,0.00049
2015,percentage,14 to under 18 years,male,,,0,,,victims of intentional homicide,0.00025
2016,percentage,14 to under 18 years,male,,,0,,,victims of intentional homicide,0.00065
2017,percentage,14 to under 18 years,male,,,0,,,victims of intentional homicide,0.00015
2018,percentage,14 to under 18 years,male,,,0,,,victims of intentional homicide,0.00031
2019,percentage,14 to under 18 years,male,,,0,,,victims of intentional homicide,0.00037
2020,percentage,14 to under 18 years,male,,,0,,,victims of intentional homicide,0.00042
2021,percentage,14 to under 18 years,male,,,0,,,victims of intentional homicide,0.00037
2022,percentage,14 to under 18 years,male,,,0,,,victims of intentional homicide,0.00013
2023,percentage,14 to under 18 years,male,,,0,,,victims of intentional homicide,0.00056
2024,percentage,14 to under 18 years,male,,,0,,,victims of intentional homicide,0.0005
2010,percentage,18 to under 21 years,female,,,0,,,victims of intentional homicide,0.0014
2011,percentage,18 to under 21 years,female,,,0,,,victims of intentional homicide,0.00081
2012,percentage,18 to under 21 years,female,,,0,,,victims of intentional homicide,0.00083
2013,percentage,18 to under 21 years,female,,,0,,,victims of intentional homicide,0.0005
2014,percentage,18 to under 21 years,female,,,0,,,victims of intentional homicide,0.00075
2015,percentage,18 to under 21 years,female,,,0,,,victims of intentional homicide,0.00073
2016,percentage,18 to under 21 years,female,,,0,,,victims of intentional homicide,0.00145
2017,percentage,18 to under 21 years,female,,,0,,,victims of intentional homicide,0.00057
2018,percentage,18 to under 21 years,female,,,0,,,victims of intentional homicide,0.00099
2019,percentage,18 to under 21 years,female,,,0,,,victims of intentional homicide,0.00042
2020,percentage,18 to under 21 years,female,,,0,,,victims of intentional homicide,0.00052
2021,percentage,18 to under 21 years,female,,,0,,,victims of intentional homicide,0.00036
2022,percentage,18 to under 21 years,female,,,0,,,victims of intentional homicide,0.0007
2023,percentage,18 to under 21 years,female,,,0,,,victims of intentional homicide,0.00078
2024,percentage,18 to under 21 years,female,,,0,,,victims of intentional homicide,0.00111
2010,percentage,18 to under 21 years,male,,,0,,,victims of intentional homicide,0.00133
2011,percentage,18 to under 21 years,male,,,0,,,victims of intentional homicide,0.00146
2012,percentage,18 to under 21 years,male,,,0,,,victims of intentional homicide,0.00102
2013,percentage,18 to under 21 years,male,,,0,,,victims of intentional homicide,0.00072
2014,percentage,18 to under 21 years,male,,,0,,,victims of intentional homicide,0.00087
2015,percentage,18 to under 21 years,male,,,0,,,victims of intentional homicide,0.00066
2016,percentage,18 to under 21 years,male,,,0,,,victims of intentional homicide,0.00182
2017,percentage,18 to under 21 years,male,,,0,,,victims of intentional homicide,0.00066
2018,percentage,18 to under 21 years,male,,,0,,,victims of intentional homicide,0.00105
2019,percentage,18 to under 21 years,male,,,0,,,victims of intentional homicide,0.00085
2020,percentage,18 to under 21 years,male,,,0,,,victims of intentional homicide,0.00121
2021,percentage,18 to under 21 years,male,,,0,,,victims of intentional homicide,0.00125
2022,percentage,18 to under 21 years,male,,,0,,,victims of intentional homicide,0.00124
2023,percentage,18 to under 21 years,male,,,0,,,victims of intentional homicide,0.00072
2024,percentage,18 to under 21 years,male,,,0,,,victims of intentional homicide,0.0011
2010,percentage,21 to under 60 years,female,,,0,,,victims of intentional homicide,0.00093
2011,percentage,21 to under 60 years,female,,,0,,,victims of intentional homicide,0.00084
2012,percentage,21 to under 60 years,female,,,0,,,victims of intentional homicide,0.00065
2013,percentage,21 to under 60 years,female,,,0,,,victims of intentional homicide,0.00074
2014,percentage,21 to under 60 years,female,,,0,,,victims of intentional homicide,0.00084
2015,percentage,21 to under 60 years,female,,,0,,,victims of intentional homicide,0.00066
2016,percentage,21 to under 60 years,female,,,0,,,victims of intentional homicide,0.00111
2017,percentage,21 to under 60 years,female,,,0,,,victims of intentional homicide,0.00083
2018,percentage,21 to under 60 years,female,,,0,,,victims of intentional homicide,0.00087
2019,percentage,21 to under 60 years,female,,,0,,,victims of intentional homicide,0.00069
2020,percentage,21 to under 60 years,female,,,0,,,victims of intentional homicide,0.00068
2021,percentage,21 to under 60 years,female,,,0,,,victims of intentional homicide,0.00068
2022,percentage,21 to under 60 years,female,,,0,,,victims of intentional homicide,0.00066
2023,percentage,21 to under 60 years,female,,,0,,,victims of intentional homicide,0.00089
2024,percentage,21 to under 60 years,female,,,0,,,victims of intentional homicide,0.00073
2010,percentage,21 to under 60 years,male,,,0,,,victims of intentional homicide,0.0011
2011,percentage,21 to under 60 years,male,,,0,,,victims of intentional homicide,0.00112
2012,percentage,21 to under 60 years,male,,,0,,,victims of intentional homicide,0.00101
2013,percentage,21 to under 60 years,male,,,0,,,victims of intentional homicide,0.001
2014,percentage,21 to under 60 years,male,,,0,,,victims of intentional homicide,0.00103
2015,percentage,21 to under 60 years,male,,,0,,,victims of intentional homicide,0.00091
2016,percentage,21 to under 60 years,male,,,0,,,victims of intentional homicide,0.00132
2017,percentage,21 to under 60 years,male,,,0,,,victims of intentional homicide,0.00108
2018,percentage,21 to under 60 years,male,,,0,,,victims of intentional homicide,0.00119
2019,percentage,21 to under 60 years,male,,,0,,,victims of intentional homicide,0.00094
2020,percentage,21 to under 60 years,male,,,0,,,victims of intentional homicide,0.0011
2021,percentage,21 to under 60 years,male,,,0,,,victims of intentional homicide,0.00092
2022,percentage,21 to under 60 years,male,,,0,,,victims of intentional homicide,0.00093
2023,percentage,21 to under 60 years,male,,,0,,,victims of intentional homicide,0.00115
2024,percentage,21 to under 60 years,male,,,0,,,victims of intentional homicide,0.00123
2010,percentage,60 years and older,female,,,0,,,victims of intentional homicide,0.00101
2011,percentage,60 years and older,female,,,0,,,victims of intentional homicide,0.00093
2012,percentage,60 years and older,female,,,0,,,victims of intentional homicide,0.00089
2013,percentage,60 years and older,female,,,0,,,victims of intentional homicide,0.001
2014,percentage,60 years and older,female,,,0,,,victims of intentional homicide,0.00098
2015,percentage,60 years and older,female,,,0,,,victims of intentional homicide,0.00115
2016,percentage,60 years and older,female,,,0,,,victims of intentional homicide,0.0013
2017,percentage,60 years and older,female,,,0,,,victims of intentional homicide,0.00133
2018,percentage,60 years and older,female,,,0,,,victims of intentional homicide,0.00104
2019,percentage,60 years and older,female,,,0,,,victims of intentional homicide,0.00082
2020,percentage,60 years and older,female,,,0,,,victims of intentional homicide,0.00124
2021,percentage,60 years and older,female,,,0,,,victims of intentional homicide,0.00108
2022,percentage,60 years and older,female,,,0,,,victims of intentional homicide,0.00124
2023,percentage,60 years and older,female,,,0,,,victims of intentional homicide,0.00099
2024,percentage,60 years and older,female,,,0,,,victims of intentional homicide,0.00107
2010,percentage,60 years and older,male,,,0,,,victims of intentional homicide,0.00093
2011,percentage,60 years and older,male,,,0,,,victims of intentional homicide,0.00077
2012,percentage,60 years and older,male,,,0,,,victims of intentional homicide,0.00076
2013,percentage,60 years and older,male,,,0,,,victims of intentional homicide,0.00093
2014,percentage,60 years and older,male,,,0,,,victims of intentional homicide,0.00093
2015,percentage,60 years and older,male,,,0,,,victims of intentional homicide,0.00102
2016,percentage,60 years and older,male,,,0,,,victims of intentional homicide,0.00125
2017,percentage,60 years and older,male,,,0,,,victims of intentional homicide,0.0014
2018,percentage,60 years and older,male,,,0,,,victims of intentional homicide,0.00096
2019,percentage,60 years and older,male,,,0,,,victims of intentional homicide,0.00089
2020,percentage,60 years and older,male,,,0,,,victims of intentional homicide,0.0012
2021,percentage,60 years and older,male,,,0,,,victims of intentional homicide,0.00091
2022,percentage,60 years and older,male,,,0,,,victims of intentional homicide,0.00089
2023,percentage,60 years and older,male,,,0,,,victims of intentional homicide,0.00088
2024,percentage,60 years and older,male,,,0,,,victims of intentional homicide,0.00105
2012,percentage,,,,very safe,r,,,feeling of (in)security of the population in its neighbourhood (after dark),41.6
2017,percentage,,,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),36.7
2020,percentage,,,,very safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),25.8
2012,percentage,,,,safe,r,,,feeling of (in)security of the population in its neighbourhood (after dark),41.3
2017,percentage,,,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),41.9
2020,percentage,,,,safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),46.3
2012,percentage,,,,unsafe,r,,,feeling of (in)security of the population in its neighbourhood (after dark),12.4
2017,percentage,,,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),15.2
2020,percentage,,,,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),22.2
2012,percentage,,,,very unsafe,r,,,feeling of (in)security of the population in its neighbourhood (after dark),4.7
2017,percentage,,,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),6.3
2020,percentage,,,,very unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),5.7
2012,percentage,,male,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),54.7
2017,percentage,,female,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),24.4
2020,percentage,,female,,very safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),15.8
2012,percentage,,male,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),37.3
2017,percentage,,female,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),43.7
2020,percentage,,female,,safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),45.5
2012,percentage,,male,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),6.1
2017,percentage,,female,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),22.0
2020,percentage,,female,,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),30.1
2012,percentage,,male,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),1.9
2017,percentage,,female,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),9.9
2020,percentage,,female,,very unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),8.6
2012,percentage,,female,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),29.0
2017,percentage,,male,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),49.4
2020,percentage,,male,,very safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),36.2
2012,percentage,,female,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),45.1
2017,percentage,,male,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),40.0
2020,percentage,,male,,safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),47.1
2012,percentage,,female,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),18.4
2017,percentage,,male,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),8.1
2020,percentage,,male,,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),14.0
2012,percentage,,female,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),7.4
2017,percentage,,male,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),2.6
2020,percentage,,male,,very unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),2.7
2012,percentage,16 to under 25 years,,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),41.4
2017,percentage,16 to under 25 years,,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),38.8
2020,percentage,16 to under 25 years,,,very safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),32.5
2012,percentage,16 to under 25 years,,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),37.9
2017,percentage,16 to under 25 years,,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),40.7
2020,percentage,16 to under 25 years,,,safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),38.2
2012,percentage,16 to under 25 years,,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),14.8
2017,percentage,16 to under 25 years,,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),15.0
2020,percentage,16 to under 25 years,,,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),20.9
2012,percentage,16 to under 25 years,,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),5.9
2017,percentage,16 to under 25 years,,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),5.5
2020,percentage,16 to under 25 years,,,very unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),8.3
2012,percentage,25 to under 35 years,,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),44.0
2017,percentage,25 to under 35 years,,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),39.2
2020,percentage,25 to under 35 years,,,very safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),32.3
2012,percentage,25 to under 35 years,,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),43.4
2017,percentage,25 to under 35 years,,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),42.9
2020,percentage,25 to under 35 years,,,safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),43.0
2012,percentage,25 to under 35 years,,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),8.7
2017,percentage,25 to under 35 years,,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),12.9
2020,percentage,25 to under 35 years,,,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),19.2
2012,percentage,25 to under 35 years,,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),3.9
2017,percentage,25 to under 35 years,,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),5.0
2020,percentage,25 to under 35 years,,,very unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),5.4
2012,percentage,35 to under 45 years,,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),47.2
2017,percentage,35 to under 45 years,,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),40.1
2020,percentage,35 to under 45 years,,,very safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),31.3
2012,percentage,35 to under 45 years,,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),41.4
2017,percentage,35 to under 45 years,,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),41.4
2020,percentage,35 to under 45 years,,,safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),45.5
2012,percentage,35 to under 45 years,,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),8.6
2017,percentage,35 to under 45 years,,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),13.3
2020,percentage,35 to under 45 years,,,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),18.9
2012,percentage,35 to under 45 years,,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),2.8
2017,percentage,35 to under 45 years,,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),5.2
2020,percentage,35 to under 45 years,,,very unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),4.3
2012,percentage,45 to under 55 years,,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),45.7
2017,percentage,45 to under 55 years,,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),39.9
2020,percentage,45 to under 55 years,,,very safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),28.3
2012,percentage,45 to under 55 years,,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),42.7
2017,percentage,45 to under 55 years,,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),42.6
2020,percentage,45 to under 55 years,,,safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),46.9
2012,percentage,45 to under 55 years,,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),8.7
2017,percentage,45 to under 55 years,,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),12.0
2020,percentage,45 to under 55 years,,,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),20.0
2012,percentage,45 to under 55 years,,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),2.9
2017,percentage,45 to under 55 years,,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),5.5
2020,percentage,45 to under 55 years,,,very unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),4.8
2012,percentage,55 to under 65 years,,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),43.1
2017,percentage,55 to under 65 years,,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),37.6
2020,percentage,55 to under 65 years,,,very safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),24.1
2012,percentage,55 to under 65 years,,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),42.1
2017,percentage,55 to under 65 years,,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),42.9
2020,percentage,55 to under 65 years,,,safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),50.3
2012,percentage,55 to under 65 years,,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),11.1
2017,percentage,55 to under 65 years,,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),13.9
2020,percentage,55 to under 65 years,,,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),20.8
2012,percentage,55 to under 65 years,,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),3.8
2017,percentage,55 to under 65 years,,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),5.6
2020,percentage,55 to under 65 years,,,very unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),4.8
2012,percentage,65 to under 75 years,,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),35.6
2017,percentage,65 to under 75 years,,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),32.8
2020,percentage,65 to under 75 years,,,very safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),18.9
2012,percentage,65 to under 75 years,,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),42.2
2017,percentage,65 to under 75 years,,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),41.4
2020,percentage,65 to under 75 years,,,safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),49.4
2012,percentage,65 to under 75 years,,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),16.3
2017,percentage,65 to under 75 years,,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),18.4
2020,percentage,65 to under 75 years,,,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),26.1
2012,percentage,65 to under 75 years,,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),5.9
2017,percentage,65 to under 75 years,,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),7.3
2020,percentage,65 to under 75 years,,,very unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),5.7
2012,percentage,75 years and older,,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),26.9
2017,percentage,75 years and older,,,very safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),25.9
2020,percentage,75 years and older,,,very safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),11.6
2012,percentage,75 years and older,,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),37.4
2017,percentage,75 years and older,,,safe,,,,feeling of (in)security of the population in its neighbourhood (after dark),40.3
2020,percentage,75 years and older,,,safe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),48.4
2012,percentage,75 years and older,,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),24.8
2017,percentage,75 years and older,,,unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),23.1
2020,percentage,75 years and older,,,unsafe,|,,,feeling of (in)security of the population in its neighbourhood (after dark),31.8
2012,percentage,75 years and older,,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),10.9
2017,percentage,75 years and older,,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),10.7
2020,percentage,75 years and older,,,very unsafe,,,,feeling of (in)security of the population in its neighbourhood (after dark),8.2
