Year,Units,Age group,Sex,Typ of victim-suspect relationship,Degree of feelings of insecurity,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2023,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,,Victims of intentional homicide,0.71
2024,"Per 100,000 inhabitants",18 to under 21 years,Male,,,|,,,Victims of intentional homicide,1.11
2025,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,,Victims of intentional homicide,1.25
2010,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,,Victims of intentional homicide,0.92
2011,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,,Victims of intentional homicide,0.83
2012,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,,Victims of intentional homicide,0.64
2013,"Per 100,000 inhabitants",21 to under 60 years,Female,,,|,,,Victims of intentional homicide,0.74
2014,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,,Victims of intentional homicide,0.84
2015,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,,Victims of intentional homicide,0.62
2016,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,,Victims of intentional homicide,1.1
2017,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,,Victims of intentional homicide,0.82
2018,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,,Victims of intentional homicide,0.86
2019,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,,Victims of intentional homicide,0.67
2020,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,,Victims of intentional homicide,0.67
2021,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,,Victims of intentional homicide,0.66
2022,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,,Victims of intentional homicide,0.65
2023,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,,Victims of intentional homicide,0.87
2024,"Per 100,000 inhabitants",21 to under 60 years,Female,,,|,,,Victims of intentional homicide,0.73
2025,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,,Victims of intentional homicide,1.33
2010,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,,Victims of intentional homicide,1.1
2011,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,,Victims of intentional homicide,1.09
2012,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,,Victims of intentional homicide,0.98
2013,"Per 100,000 inhabitants",21 to under 60 years,Male,,,|,,,Victims of intentional homicide,1.0
2014,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,,Victims of intentional homicide,1.03
2015,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,,Victims of intentional homicide,0.87
2016,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,,Victims of intentional homicide,1.31
2017,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,,Victims of intentional homicide,1.07
2018,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,,Victims of intentional homicide,1.18
2019,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,,Victims of intentional homicide,0.93
2020,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,,Victims of intentional homicide,1.07
2021,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,,Victims of intentional homicide,0.9
2022,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,,Victims of intentional homicide,0.92
2023,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,,Victims of intentional homicide,1.13
2024,"Per 100,000 inhabitants",21 to under 60 years,Male,,,|,,,Victims of intentional homicide,1.23
2025,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,,Victims of intentional homicide,1.44
2010,"Per 100,000 inhabitants",60 years and older,Female,,,,,,Victims of intentional homicide,1.02
2011,"Per 100,000 inhabitants",60 years and older,Female,,,,,,Victims of intentional homicide,0.93
2012,"Per 100,000 inhabitants",60 years and older,Female,,,,,,Victims of intentional homicide,0.89
2013,"Per 100,000 inhabitants",60 years and older,Female,,,|,,,Victims of intentional homicide,1.01
2014,"Per 100,000 inhabitants",60 years and older,Female,,,,,,Victims of intentional homicide,0.99
2015,"Per 100,000 inhabitants",60 years and older,Female,,,,,,Victims of intentional homicide,1.16
2016,"Per 100,000 inhabitants",60 years and older,Female,,,,,,Victims of intentional homicide,1.31
2017,"Per 100,000 inhabitants",60 years and older,Female,,,,,,Victims of intentional homicide,1.33
2018,"Per 100,000 inhabitants",60 years and older,Female,,,,,,Victims of intentional homicide,1.04
2019,"Per 100,000 inhabitants",60 years and older,Female,,,,,,Victims of intentional homicide,0.82
2020,"Per 100,000 inhabitants",60 years and older,Female,,,,,,Victims of intentional homicide,1.24
2021,"Per 100,000 inhabitants",60 years and older,Female,,,,,,Victims of intentional homicide,1.08
2022,"Per 100,000 inhabitants",60 years and older,Female,,,,,,Victims of intentional homicide,1.24
2023,"Per 100,000 inhabitants",60 years and older,Female,,,,,,Victims of intentional homicide,0.99
2024,"Per 100,000 inhabitants",60 years and older,Female,,,|,,,Victims of intentional homicide,1.08
2025,"Per 100,000 inhabitants",60 years and older,Female,,,,,,Victims of intentional homicide,1.42
2010,"Per 100,000 inhabitants",60 years and older,Male,,,,,,Victims of intentional homicide,0.93
2011,"Per 100,000 inhabitants",60 years and older,Male,,,,,,Victims of intentional homicide,0.77
2012,"Per 100,000 inhabitants",60 years and older,Male,,,,,,Victims of intentional homicide,0.76
2013,"Per 100,000 inhabitants",60 years and older,Male,,,|,,,Victims of intentional homicide,0.94
2014,"Per 100,000 inhabitants",60 years and older,Male,,,,,,Victims of intentional homicide,0.95
2015,"Per 100,000 inhabitants",60 years and older,Male,,,,,,Victims of intentional homicide,1.03
2016,"Per 100,000 inhabitants",60 years and older,Male,,,,,,Victims of intentional homicide,1.27
2017,"Per 100,000 inhabitants",60 years and older,Male,,,,,,Victims of intentional homicide,1.41
2018,"Per 100,000 inhabitants",60 years and older,Male,,,,,,Victims of intentional homicide,0.97
2019,"Per 100,000 inhabitants",60 years and older,Male,,,,,,Victims of intentional homicide,0.9
2020,"Per 100,000 inhabitants",60 years and older,Male,,,,,,Victims of intentional homicide,1.21
2021,"Per 100,000 inhabitants",60 years and older,Male,,,,,,Victims of intentional homicide,0.92
2022,"Per 100,000 inhabitants",60 years and older,Male,,,,,,Victims of intentional homicide,0.89
2023,"Per 100,000 inhabitants",60 years and older,Male,,,,,,Victims of intentional homicide,0.88
2024,"Per 100,000 inhabitants",60 years and older,Male,,,|,,,Victims of intentional homicide,1.06
2025,"Per 100,000 inhabitants",60 years and older,Male,,,,,,Victims of intentional homicide,1.5
2010,Number,,,,,,,,Victims of intentional homicide,793.0
2011,Number,,,,,,,,Victims of intentional homicide,738.0
2012,Number,,,,,,,,Victims of intentional homicide,659.0
2013,Number,,,,,,,,Victims of intentional homicide,682.0
2014,Number,,,,,,,,Victims of intentional homicide,716.0
2015,Number,,,,,,,,Victims of intentional homicide,682.0
2016,Number,,,,,,,,Victims of intentional homicide,963.0
2017,Number,,,,,,,,Victims of intentional homicide,813.0
2018,Number,,,,,,,,Victims of intentional homicide,788.0
2019,Number,,,,,,,,Victims of intentional homicide,623.0
2020,Number,,,,,,,,Victims of intentional homicide,782.0
2021,Number,,,,,,,,Victims of intentional homicide,695.0
2022,Number,,,,,,,,Victims of intentional homicide,686.0
2023,Number,,,,,,,,Victims of intentional homicide,770.0
2024,Number,,,,,,,,Victims of intentional homicide,779.0
2025,Number,,,,,,,,Victims of intentional homicide,1112.0
2010,Number,13 years and younger,,,,,,,Victims of intentional homicide,77.0
