Year,Units,Altersklasse,Geschlecht,Art der Opfer-Tatverdächtigen-Beziehung,Grad des Unsicherheitsgefühls,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2011,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,0.83
2012,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,0.64
2013,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,|,,,Vorsätzliche Tötungsdelikte,0.74
2014,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,0.84
2015,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,0.62
2016,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,1.1
2017,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,0.82
2018,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,0.86
2019,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,0.67
2020,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,0.67
2021,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,0.66
2022,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,0.65
2023,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,0.87
2024,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,|,,,Vorsätzliche Tötungsdelikte,0.73
2025,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,1.33
2010,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,1.1
2011,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,1.09
2012,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,0.98
2013,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,|,,,Vorsätzliche Tötungsdelikte,1.0
2014,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,1.03
2015,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,0.87
2016,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,1.31
2017,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,1.07
2018,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,1.18
2019,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,0.93
2020,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,1.07
2021,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,0.9
2022,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,0.92
2023,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,1.13
2024,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,|,,,Vorsätzliche Tötungsdelikte,1.23
2025,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,1.44
2010,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,1.02
2011,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,0.93
2012,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,0.89
2013,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,|,,,Vorsätzliche Tötungsdelikte,1.01
2014,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,0.99
2015,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,1.16
2016,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,1.31
2017,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,1.33
2018,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,1.04
2019,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,0.82
2020,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,1.24
2021,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,1.08
2022,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,1.24
2023,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,0.99
2024,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,|,,,Vorsätzliche Tötungsdelikte,1.08
2025,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,1.42
2010,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Vorsätzliche Tötungsdelikte,0.93
2011,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Vorsätzliche Tötungsdelikte,0.77
2012,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Vorsätzliche Tötungsdelikte,0.76
2013,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,|,,,Vorsätzliche Tötungsdelikte,0.94
2014,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Vorsätzliche Tötungsdelikte,0.95
2015,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Vorsätzliche Tötungsdelikte,1.03
2016,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Vorsätzliche Tötungsdelikte,1.27
2017,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Vorsätzliche Tötungsdelikte,1.41
2018,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Vorsätzliche Tötungsdelikte,0.97
2019,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Vorsätzliche Tötungsdelikte,0.9
2020,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Vorsätzliche Tötungsdelikte,1.21
2021,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Vorsätzliche Tötungsdelikte,0.92
2022,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Vorsätzliche Tötungsdelikte,0.89
2023,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Vorsätzliche Tötungsdelikte,0.88
2024,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,|,,,Vorsätzliche Tötungsdelikte,1.06
2025,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Vorsätzliche Tötungsdelikte,1.5
2010,Anzahl,,,,,,,,Vorsätzliche Tötungsdelikte,793.0
2011,Anzahl,,,,,,,,Vorsätzliche Tötungsdelikte,738.0
2012,Anzahl,,,,,,,,Vorsätzliche Tötungsdelikte,659.0
2013,Anzahl,,,,,,,,Vorsätzliche Tötungsdelikte,682.0
2014,Anzahl,,,,,,,,Vorsätzliche Tötungsdelikte,716.0
2015,Anzahl,,,,,,,,Vorsätzliche Tötungsdelikte,682.0
2016,Anzahl,,,,,,,,Vorsätzliche Tötungsdelikte,963.0
2017,Anzahl,,,,,,,,Vorsätzliche Tötungsdelikte,813.0
2018,Anzahl,,,,,,,,Vorsätzliche Tötungsdelikte,788.0
2019,Anzahl,,,,,,,,Vorsätzliche Tötungsdelikte,623.0
2020,Anzahl,,,,,,,,Vorsätzliche Tötungsdelikte,782.0
2021,Anzahl,,,,,,,,Vorsätzliche Tötungsdelikte,695.0
2022,Anzahl,,,,,,,,Vorsätzliche Tötungsdelikte,686.0
2023,Anzahl,,,,,,,,Vorsätzliche Tötungsdelikte,770.0
2024,Anzahl,,,,,,,,Vorsätzliche Tötungsdelikte,779.0
2025,Anzahl,,,,,,,,Vorsätzliche Tötungsdelikte,1112.0
2010,Anzahl,13 Jahre und jünger,,,,,,,Vorsätzliche Tötungsdelikte,77.0
2011,Anzahl,13 Jahre und jünger,,,,,,,Vorsätzliche Tötungsdelikte,73.0
2012,Anzahl,13 Jahre und jünger,,,,,,,Vorsätzliche Tötungsdelikte,90.0
2013,Anzahl,13 Jahre und jünger,,,,,,,Vorsätzliche Tötungsdelikte,66.0
2014,Anzahl,13 Jahre und jünger,,,,,,,Vorsätzliche Tötungsdelikte,63.0
2015,Anzahl,13 Jahre und jünger,,,,,,,Vorsätzliche Tötungsdelikte,62.0
2016,Anzahl,13 Jahre und jünger,,,,,,,Vorsätzliche Tötungsdelikte,68.0
2017,Anzahl,13 Jahre und jünger,,,,,,,Vorsätzliche Tötungsdelikte,67.0
2018,Anzahl,13 Jahre und jünger,,,,,,,Vorsätzliche Tötungsdelikte,70.0
2019,Anzahl,13 Jahre und jünger,,,,,,,Vorsätzliche Tötungsdelikte,46.0
2020,Anzahl,13 Jahre und jünger,,,,,,,Vorsätzliche Tötungsdelikte,79.0
2021,Anzahl,13 Jahre und jünger,,,,,,,Vorsätzliche Tötungsdelikte,83.0
2022,Anzahl,13 Jahre und jünger,,,,,,,Vorsätzliche Tötungsdelikte,51.0
2023,Anzahl,13 Jahre und jünger,,,,,,,Vorsätzliche Tötungsdelikte,72.0
2024,Anzahl,13 Jahre und jünger,,,,,,,Vorsätzliche Tötungsdelikte,56.0
2025,Anzahl,13 Jahre und jünger,,,,,,,Vorsätzliche Tötungsdelikte,92.0
2010,Anzahl,14 bis unter 18 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,22.0
2011,Anzahl,14 bis unter 18 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,27.0
2012,Anzahl,14 bis unter 18 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,6.0
2013,Anzahl,14 bis unter 18 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,12.0
2014,Anzahl,14 bis unter 18 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,15.0
2015,Anzahl,14 bis unter 18 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,14.0
2016,Anzahl,14 bis unter 18 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,35.0
2017,Anzahl,14 bis unter 18 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,4.0
2018,Anzahl,14 bis unter 18 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,14.0
2019,Anzahl,14 bis unter 18 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,11.0
2020,Anzahl,14 bis unter 18 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,12.0
2021,Anzahl,14 bis unter 18 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,14.0
2022,Anzahl,14 bis unter 18 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,14.0
2023,Anzahl,14 bis unter 18 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,17.0
2024,Anzahl,14 bis unter 18 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,15.0
2025,Anzahl,14 bis unter 18 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,36.0
2010,Anzahl,18 bis unter 21 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,38.0
2011,Anzahl,18 bis unter 21 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,29.0
2012,Anzahl,18 bis unter 21 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,23.0
2013,Anzahl,18 bis unter 21 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,15.0
2014,Anzahl,18 bis unter 21 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,20.0
2015,Anzahl,18 bis unter 21 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,18.0
2016,Anzahl,18 bis unter 21 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,43.0
2017,Anzahl,18 bis unter 21 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,16.0
2018,Anzahl,18 bis unter 21 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,26.0
2019,Anzahl,18 bis unter 21 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,16.0
2020,Anzahl,18 bis unter 21 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,21.0
2021,Anzahl,18 bis unter 21 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,19.0
2022,Anzahl,18 bis unter 21 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,23.0
2023,Anzahl,18 bis unter 21 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,18.0
2024,Anzahl,18 bis unter 21 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,27.0
2025,Anzahl,18 bis unter 21 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,34.0
2010,Anzahl,21 bis unter 60 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,448.0
2011,Anzahl,21 bis unter 60 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,424.0
2012,Anzahl,21 bis unter 60 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,359.0
2013,Anzahl,21 bis unter 60 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,377.0
2014,Anzahl,21 bis unter 60 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,405.0
2015,Anzahl,21 bis unter 60 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,343.0
2016,Anzahl,21 bis unter 60 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,527.0
2017,Anzahl,21 bis unter 60 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,414.0
2018,Anzahl,21 bis unter 60 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,445.0
2019,Anzahl,21 bis unter 60 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,349.0
2020,Anzahl,21 bis unter 60 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,378.0
2021,Anzahl,21 bis unter 60 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,336.0
2022,Anzahl,21 bis unter 60 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,334.0
2023,Anzahl,21 bis unter 60 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,430.0
2024,Anzahl,21 bis unter 60 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,412.0
2025,Anzahl,21 bis unter 60 Jahre,,,,,,,Vorsätzliche Tötungsdelikte,579.0
2010,Anzahl,60 Jahre und älter,,,,,,,Vorsätzliche Tötungsdelikte,208.0
2011,Anzahl,60 Jahre und älter,,,,,,,Vorsätzliche Tötungsdelikte,185.0
2012,Anzahl,60 Jahre und älter,,,,,,,Vorsätzliche Tötungsdelikte,181.0
2013,Anzahl,60 Jahre und älter,,,,,,,Vorsätzliche Tötungsdelikte,212.0
2014,Anzahl,60 Jahre und älter,,,,,,,Vorsätzliche Tötungsdelikte,213.0
2015,Anzahl,60 Jahre und älter,,,,,,,Vorsätzliche Tötungsdelikte,245.0
2016,Anzahl,60 Jahre und älter,,,,,,,Vorsätzliche Tötungsdelikte,290.0
2017,Anzahl,60 Jahre und älter,,,,,,,Vorsätzliche Tötungsdelikte,312.0
2018,Anzahl,60 Jahre und älter,,,,,,,Vorsätzliche Tötungsdelikte,233.0
2019,Anzahl,60 Jahre und älter,,,,,,,Vorsätzliche Tötungsdelikte,201.0
2020,Anzahl,60 Jahre und älter,,,,,,,Vorsätzliche Tötungsdelikte,292.0
2021,Anzahl,60 Jahre und älter,,,,,,,Vorsätzliche Tötungsdelikte,243.0
2022,Anzahl,60 Jahre und älter,,,,,,,Vorsätzliche Tötungsdelikte,264.0
2023,Anzahl,60 Jahre und älter,,,,,,,Vorsätzliche Tötungsdelikte,233.0
2024,Anzahl,60 Jahre und älter,,,,,,,Vorsätzliche Tötungsdelikte,269.0
2025,Anzahl,60 Jahre und älter,,,,,,,Vorsätzliche Tötungsdelikte,371.0
2010,Anzahl,,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,393.0
2011,Anzahl,,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,338.0
2012,Anzahl,,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,296.0
2013,Anzahl,,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,328.0
2014,Anzahl,,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,339.0
2015,Anzahl,,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,327.0
2016,Anzahl,,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,469.0
2017,Anzahl,,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,380.0
2018,Anzahl,,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,367.0
2019,Anzahl,,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,276.0
2020,Anzahl,,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,357.0
2021,Anzahl,,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,337.0
2022,Anzahl,,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,349.0
2023,Anzahl,,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,374.0
2024,Anzahl,,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,338.0
2025,Anzahl,,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,552.0
2010,Anzahl,,Männlich,,,,,,Vorsätzliche Tötungsdelikte,400.0
2011,Anzahl,,Männlich,,,,,,Vorsätzliche Tötungsdelikte,400.0
2012,Anzahl,,Männlich,,,,,,Vorsätzliche Tötungsdelikte,363.0
2013,Anzahl,,Männlich,,,,,,Vorsätzliche Tötungsdelikte,354.0
2014,Anzahl,,Männlich,,,,,,Vorsätzliche Tötungsdelikte,377.0
2015,Anzahl,,Männlich,,,,,,Vorsätzliche Tötungsdelikte,355.0
2016,Anzahl,,Männlich,,,,,,Vorsätzliche Tötungsdelikte,494.0
2017,Anzahl,,Männlich,,,,,,Vorsätzliche Tötungsdelikte,433.0
2018,Anzahl,,Männlich,,,,,,Vorsätzliche Tötungsdelikte,421.0
2019,Anzahl,,Männlich,,,,,,Vorsätzliche Tötungsdelikte,347.0
2020,Anzahl,,Männlich,,,,,,Vorsätzliche Tötungsdelikte,425.0
2021,Anzahl,,Männlich,,,,,,Vorsätzliche Tötungsdelikte,358.0
2022,Anzahl,,Männlich,,,,,,Vorsätzliche Tötungsdelikte,337.0
2023,Anzahl,,Männlich,,,,,,Vorsätzliche Tötungsdelikte,396.0
2024,Anzahl,,Männlich,,,,,,Vorsätzliche Tötungsdelikte,441.0
2025,Anzahl,,Männlich,,,,,,Vorsätzliche Tötungsdelikte,560.0
2010,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,37.0
2011,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,24.0
2012,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,39.0
2013,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,37.0
2014,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,24.0
2015,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,25.0
2016,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,30.0
2017,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,28.0
2018,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,30.0
2019,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,17.0
2020,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,43.0
2021,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,43.0
2022,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,27.0
2023,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,39.0
2024,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,20.0
2025,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,48.0
2010,Anzahl,13 Jahre und jünger,Männlich,,,,,,Vorsätzliche Tötungsdelikte,40.0
2011,Anzahl,13 Jahre und jünger,Männlich,,,,,,Vorsätzliche Tötungsdelikte,49.0
2012,Anzahl,13 Jahre und jünger,Männlich,,,,,,Vorsätzliche Tötungsdelikte,51.0
2013,Anzahl,13 Jahre und jünger,Männlich,,,,,,Vorsätzliche Tötungsdelikte,29.0
2014,Anzahl,13 Jahre und jünger,Männlich,,,,,,Vorsätzliche Tötungsdelikte,39.0
2015,Anzahl,13 Jahre und jünger,Männlich,,,,,,Vorsätzliche Tötungsdelikte,37.0
2016,Anzahl,13 Jahre und jünger,Männlich,,,,,,Vorsätzliche Tötungsdelikte,38.0
2017,Anzahl,13 Jahre und jünger,Männlich,,,,,,Vorsätzliche Tötungsdelikte,39.0
2018,Anzahl,13 Jahre und jünger,Männlich,,,,,,Vorsätzliche Tötungsdelikte,40.0
2019,Anzahl,13 Jahre und jünger,Männlich,,,,,,Vorsätzliche Tötungsdelikte,29.0
2020,Anzahl,13 Jahre und jünger,Männlich,,,,,,Vorsätzliche Tötungsdelikte,36.0
2021,Anzahl,13 Jahre und jünger,Männlich,,,,,,Vorsätzliche Tötungsdelikte,40.0
2022,Anzahl,13 Jahre und jünger,Männlich,,,,,,Vorsätzliche Tötungsdelikte,24.0
2023,Anzahl,13 Jahre und jünger,Männlich,,,,,,Vorsätzliche Tötungsdelikte,33.0
2024,Anzahl,13 Jahre und jünger,Männlich,,,,,,Vorsätzliche Tötungsdelikte,36.0
2025,Anzahl,13 Jahre und jünger,Männlich,,,,,,Vorsätzliche Tötungsdelikte,44.0
2010,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,14.0
2011,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,12.0
2012,Anzahl,14 bis unter 18 Jahre,Weiblich,,,‒,,,Vorsätzliche Tötungsdelikte,0.0
2013,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,4.0
2014,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,5.0
2015,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,9.0
2016,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,22.0
2017,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,1.0
2018,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,8.0
2019,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,4.0
2020,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,4.0
2021,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,7.0
2022,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,12.0
2023,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,8.0
2024,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,7.0
2025,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,16.0
2010,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,8.0
2011,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,15.0
2012,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,6.0
2013,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,8.0
2014,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,10.0
2015,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,5.0
2016,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,13.0
2017,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,3.0
2018,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,6.0
2019,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,7.0
2020,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,8.0
2021,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,7.0
2022,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,2.0
2023,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,9.0
2024,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,8.0
2025,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Vorsätzliche Tötungsdelikte,20.0
2010,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,19.0
2011,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,10.0
2012,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,10.0
2013,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,6.0
2014,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,9.0
2015,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,9.0
2016,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,,Vorsätzliche Tötungsdelikte,18.0
